tu_id,va,order,flag,tier,size,file,evidence
tu_046,0x10060F40,11,O2,T2,683,src/core/audio/br_sndpos.c,0x100778D8 0x100779E4 0x100779E8
tu_046,0x10061470,12,O2,T2,2757,src/core/audio/br_sndcar.c,0x100778CC 0x100778D8 0x10077904 0x100779E4 0x100779E8 0x100779F0 0x100779F8 0x100779FC 0x10077A00 0x10077A04 0x10077A08
tu_046,0x10061F60,13,O2,T1,1073,,0x100778D8 0x100778F8 0x10077A0C 0x10077A10 0x10077A14
tu_046,0x100623E0,14,O2,T2,286,src/core/racing/br_racestep.c,0x100778F8 0x10077A18
tu_047,0x10062640,0,O2,T2,363,src/core/slice3_42.c,0x10077A1C 0x10077A20 0x10077A24
tu_048,0x10063B80,0,O2,T4,282,src/core/racing/br_replay.c,0x10077A70
tu_049,0x100645A0,0,O2,T2,3070,src/core/driving/br_cardrive.c,0x10077A78 0x10077A7C 0x10077A80 0x10077A84 0x10077A88 0x10077A8C 0x10077A90 0x10077A98 0x10077AA0 0x10077AA4 0x10077AA8 0x10077AAC 0x10077AB0 0x10077AB8 0x10077ABC 0x10077AC0 0x10077AC4 0x10077AC8 0x10077AD0 0x10077AD4 0x10077AD8
tu_049,0x100651A0,1,O2,T2,1355,src/core/driving/br_carphys.c,0x10077A78 0x10077A7C 0x10077A80 0x10077AD0 0x10077AE0 0x10077AE8 0x10077AEC 0x10077AF0 0x10077AF4 0x10077AF8 0x10077AFC 0x10077B00 0x10077B08 0x10077B10 0x10077B18 0x10077B20 0x10077B28
tu_049,0x100656F0,2,O2,T2,599,src/core/driving/br_tritest.c,0x10077A78 0x10077A7C
tu_049,0x10065980,3,O2,T2,760,src/core/driving/br_collrespsolve.c,0x10077A78 0x10077AB8 0x10077B2C 0x10077B30 0x10077B34 0x10077B38
tu_049,0x10065C80,4,O2,T2,1448,src/core/driving/br_collrespsolve.c,0x10077A78 0x10077A7C 0x10077AB8 0x10077B30 0x10077B34 0x10077B38 0x10077B3C 0x10077B40 0x10077B44
