d3d_addr,glide_addr,votes
0x10220B2C,0x1021C65C,1
0x10220B30,0x1021C660,1
0x10220B34,0x1021C664,1
0x10220B3C,0x1021C66C,1
0x10220B7C,0x1021C6AC,1
0x10220C38,0x1021C768,5
0x10220C3C,0x1021C76C,18
0x10220C40,0x1021C770,10
0x10220C44,0x1021C774,4
0x10220C48,0x1021C778,2
0x10220C4C,0x1021C77C,2
0x10220C50,0x1021C780,2
0x10220C52,0x1021C782,1
0x10220C54,0x1021C784,2
0x10220C58,0x1021C788,2
0x10220C5C,0x1021C78C,1
0x10220C5E,0x1021C78E,1
0x10220C60,0x1021C790,1
0x10220C62,0x1021C792,1
0x10220C64,0x1021C794,1
0x10220C68,0x1021C798,1
0x10220C6C,0x1021C79C,2
0x10220C70,0x1021C7A0,1
0x10220C74,0x1021C7A4,1
0x10220C78,0x1021C7A8,1
0x10220C7A,0x1021C7AA,1
0x10220C7C,0x1021C7AC,1
0x10220C80,0x1021C7B0,1
0x10220C84,0x1021C7B4,1
0x10220C88,0x1021C7B8,1
0x10220C8C,0x1021C7BC,1
0x10220C8E,0x1021C7BE,1
