d3d_va,glide_va,size,class,matched_by
0x1008ECB1,0x100750B0,11,shared,body
0x1008ECBC,0x100750B0,11,shared,body
0x1008ECC7,0x100750B0,11,shared,body
0x1008ECD2,0x100750B0,11,shared,body
0x1008ECDD,0x10074B3B,10,shared,body
0x1008ECF0,0x100750B0,11,shared,body
0x1008ECFB,0x100750B0,11,shared,body
0x1008ED06,0x100750B0,11,shared,body
0x1008ED11,0x100750B0,11,shared,body
0x1008ED1C,0x100750B0,11,shared,body
0x1008ED27,0x100750B0,11,shared,body
0x1008ED32,0x100750B0,11,shared,body
0x1008ED3D,0x100750B0,11,shared,body
0x1008ED48,0x100750B0,11,shared,body
0x1008ED53,0x100750B0,11,shared,body
0x1008ED5E,0x100750B0,11,shared,body
0x1008ED69,0x100750B0,11,shared,body
0x1008ED74,0x100750B0,11,shared,body
0x1008ED7F,0x100750B0,11,shared,body
0x1008ED8A,0x100750B0,11,shared,body
0x1008ED95,0x100750B0,11,shared,body
0x1008EDA0,0x100750B0,11,shared,body
0x1008EDAB,0x100750B0,11,shared,body
0x1008EDB6,0x10074B3B,10,shared,body
0x1008EDC0,0x100750B0,11,shared,body
0x1008EDCB,0x100750B0,11,shared,body
0x1008EDD6,0x100750B0,11,shared,body
0x1008EDE1,0x100750B0,11,shared,body
0x1008EDEC,0x100750B0,11,shared,body
0x1008EDF7,0x100750B0,11,shared,body
0x1008EE02,0x100750B0,11,shared,body
0x1008EE0D,0x100750B0,11,shared,body
0x1008EE18,0x100750B0,11,shared,body
0x1008EE23,0x100750B0,11,shared,body
0x1008EE2E,0x100750B0,11,shared,body
0x1008EE39,0x100750B0,11,shared,body
0x1008EE44,0x10074B3B,10,shared,body
0x1008EE50,0x10074C10,11,shared,body
0x1008EE5B,0x10074C10,11,shared,body
0x1008EE66,0x10074B3B,10,shared,body
0x1008EE70,0x10076620,11,shared,body
0x1008EE7B,0x10074B3B,10,shared,body
0x1008EE90,0x10074C10,11,shared,body
0x1008EE9B,0x10074B3B,10,shared,body
0x1008EEB0,,11,d3d_only,
0x1008EEBB,0x10074B3B,10,shared,body
0x1008EED0,,11,d3d_only,
0x1008EEDB,0x10074B3B,10,shared,body
