va,size,pattern,detail
0x1003B170,65,x87-math,24 insns
0x1003B1C0,46,x87-math,17 insns
0x1003B2A0,157,x87-math,66 insns
0x1003B3F0,115,x87-math,49 insns
0x1003B470,126,x87-math,47 insns
0x1003B4F0,696,x87-math,244 insns
0x1003B7B0,393,x87-math,125 insns
0x1003B940,295,x87-math,119 insns
0x1003BA70,544,x87-math,221 insns
0x1003BC90,176,x87-math,63 insns
0x1003BD50,527,branching,164 insns
0x1003BF60,111,branching,30 insns
0x1003BFD0,78,branching,23 insns
0x1003C020,294,branching,81 insns
0x1003C150,135,branching,40 insns
0x1003C1E0,71,branching,18 insns
0x1003C230,47,calls-out,11 insns
0x1003C260,319,branching,96 insns
0x1003C3A0,134,branching,47 insns
0x1003C430,231,branching,79 insns
0x1003C520,46,calls-out,14 insns
0x1003C550,108,branching,32 insns
0x1003C5C0,383,branching,111 insns
0x1003C740,615,branching,187 insns
0x1003C9B0,53,branching,22 insns
0x1003C9F0,123,branching,42 insns
0x1003CA70,33,branching,12 insns
0x1003CAA0,103,branching,30 insns
0x1003CB10,120,branching,40 insns
0x1003CB90,224,branching,76 insns
0x1003CC70,289,branching,82 insns
0x1003CDA0,212,branching,77 insns
0x1003CE80,311,branching,107 insns
0x1003CFC0,30,other,10 insns
0x1003CFE0,68,branching,27 insns
0x1003D030,55,branching,18 insns
0x1003D070,53,branching,22 insns
0x1003D0B0,127,branching,55 insns
0x1003D130,71,branching,28 insns
0x1003D180,142,branching,64 insns
0x1003D210,389,branching,147 insns
0x1003D480,805,branching,232 insns
0x1003D7B0,158,branching,58 insns
0x1003D850,65,branching,27 insns
0x1003D8A0,161,branching,67 insns
0x1003D950,77,branching,28 insns
0x1003D9A0,77,branching,28 insns
0x1003D9F0,69,branching,26 insns
0x1003DA40,77,branching,28 insns
0x1003DA90,67,branching,25 insns
0x1003DAE0,28,branching,11 insns
0x1003DB00,67,branching,25 insns
0x1003DB50,108,branching,42 insns
0x1003DBC0,78,calls-out,23 insns
0x1003DC10,933,branching,268 insns
0x1003DFC0,66,other,12 insns
0x1003E010,33,branching,16 insns
0x1003E040,33,branching,16 insns
0x1003E080,90,branching,31 insns
0x1003E0E0,25,branching,9 insns
0x1003E100,202,branching,72 insns
0x1003E1D0,68,branching,20 insns
0x1003E260,84,branching,29 insns
0x1003E310,137,other,25 insns
0x1003E3A0,362,branching,87 insns
0x1003E510,368,branching,99 insns
0x1003E7A0,148,x87-math,59 insns
0x1003E840,100,branching,38 insns
0x1003E8D0,72,branching,25 insns
0x1003E920,35,x87-math,11 insns
0x1003E950,43,branching,10 insns
0x1003E980,92,x87-math,40 insns
0x1003E9E0,92,x87-math,40 insns
0x1003EA40,78,x87-math,22 insns
0x1003EA90,73,branching,25 insns
0x1003EAE0,40,branching,11 insns
0x1003EB10,74,branching,26 insns
0x1003EB60,40,branching,11 insns
0x1003EB90,40,branching,11 insns
0x1003EBC0,31,calls-out,8 insns
0x1003EBE0,72,branching,20 insns
0x1003EC30,74,branching,26 insns
0x1003EC80,40,branching,11 insns
0x1003ED10,40,branching,11 insns
0x1003EDF0,40,branching,11 insns
0x1003EE20,48,branching,16 insns
0x1003EE50,153,branching,58 insns
0x1003EEF0,106,branching,41 insns
0x1003EF60,39,branching,14 insns
0x1003EF90,143,branching,55 insns
0x1003F020,39,branching,14 insns
0x1003F050,81,branching,31 insns
0x1003F0B0,81,branching,31 insns
0x1003F110,81,branching,31 insns
0x1003F170,147,calls-out,58 insns
0x1003F210,106,branching,41 insns
0x1003F280,39,branching,14 insns
0x1003F2B0,112,branching,38 insns
0x1003F320,285,branching,99 insns
0x1003F440,200,branching,44 insns
0x1003F540,156,branching,42 insns
0x1003F5E0,131,branching,28 insns
0x1003F680,131,branching,28 insns
0x1003F720,61,branching,15 insns
0x1003F760,136,branching,48 insns
0x1003F7F0,100,calls-out,36 insns
0x1003F860,100,calls-out,36 insns
0x1003F8D0,180,branching,61 insns
0x1003F990,100,calls-out,36 insns
0x1003FA00,567,branching,172 insns
0x1003FC40,100,calls-out,36 insns
0x1003FCB0,113,branching,41 insns
0x1003FD30,100,calls-out,36 insns
0x1003FDA0,100,calls-out,36 insns
0x1003FE10,100,calls-out,36 insns
0x1003FE80,330,x87-math,101 insns
0x1003FFD0,100,calls-out,36 insns
0x10040040,136,branching,48 insns
0x100400E0,563,branching,153 insns
0x10040330,277,branching,86 insns
0x10040450,540,branching,158 insns
0x10040680,60,branching,11 insns
0x100406C0,108,no-ret,
0x10040730,98,branching,24 insns
0x100407A0,61,branching,15 insns
0x100407E0,129,branching,33 insns
0x10040870,30,other,6 insns
0x10040890,30,other,6 insns
0x100408B0,30,other,6 insns
0x100408D0,90,branching,31 insns
0x10040930,30,other,6 insns
0x10040950,64,branching,14 insns
0x10040990,30,field-writes,5 stores
0x100409B0,30,other,6 insns
0x100409D0,30,other,6 insns
0x100409F0,40,other,8 insns
0x10040A20,42,other,9 insns
0x10040A50,107,branching,39 insns
